,Title,Description,PubDate,Categorie
0,Le probable futur patron de la Nasa veut privilégier l'envoi d'astronautes sur Mars,"""Nous donnerons la priorité à l'envoi d'astronautes américains sur Mars, et en cours de route, nous aurons inévitablement les capacités de retourner sur la Lune"", a assuré Jared Isaacman, choisi par Donald Trump pour prendre la tête de la Nasa.","Wed, 09 Apr 2025 23:15:03 +0200",sciences
1,États-Unis : des loups géants disparus depuis 10 000 ans ressuscités en laboratoire ?,"Une entreprise américaine affirme avoir recréé le loup sinistre, une espèce de loup préhistorique disparue, plus grande et robuste que nos loups contemporains. Mais certains scientifiques restent sceptiques.","Wed, 09 Apr 2025 17:08:23 +0200",sciences
2,"VRAI OU FAUX. Le loup sinistre, éteint il y a plus de 10 000 ans, a-t-il vraiment fait son retour grâce à des chercheurs ?","L'entreprise américaine Colossal Biosciences, spécialisée en ""désextinction"", affirme être parvenue à faire revenir pour la première fois une espèce disparue. En réalité, les trois louveteaux nés de cette manipulation ne possèdent qu'une goutte du patrimoine génétique du ""canis dirus"".","Wed, 09 Apr 2025 11:30:26 +0200",sciences
3,Clonage : des loups préhistoriques ressuscités ?,"Trois louveteaux, Romulus, Rémus et Khaleesi, nés grâce à l’ingénierie génétique, pourraient être les premiers spécimens d’une espèce de loup disparue il y a plus de 10 000 ans. Cependant, cette « renaissance » est contestée par de nombreux scientifiques, qui considèrent ces animaux comme des hybrides modifiés.","Wed, 09 Apr 2025 11:12:55 +0200",sciences
4,La voiture télécommandée à distance : la nouvelle révolution de la location automobile,"Demain, les voitures de location viendront à vous, sans chauffeur à bord. Grâce à une technologie innovante de télécommande, un conducteur installé à distance pilotera le véhicule, vous le livrant à l'endroit souhaité. Cette révolution, déjà testée à Las Vegas, débarque en Europe sous réserve de modifications législatives.","Wed, 09 Apr 2025 10:21:49 +0200",sciences
5,"Droits de douane américains : ""Les entreprises américaines du numérique ont un besoin vital du marché européen"", assure Thierry Breton","D'après l'ancien commissaire européen, les entreprises américaines du numérique réalisent ""entre 25 et 40% de leur chiffre d'affaire et de leur bénéfice en Europe"".","Tue, 08 Apr 2025 10:18:54 +0200",sciences
6,Le télescope en orbite James Webb révèle les secrets des exoplanètes,"Plus précis, le télescope James Webb, en orbite depuis 2021, permet d'analyser le composé des sols des exoplanètes. Des données précieuses et inédites qui révèlent pour l'instant des milieux hostiles à la vie.","Sun, 06 Apr 2025 10:00:02 +0200",sciences
7,Révolution en cosmétique avec un nouvel après-shampoing composé à base de bois,Le secteur cosmétique considéré comme une industrie particulièrement consommatrice de dérivés de pétrole et de polluants souvent néfastes pour la santé pourrait se tourner vers un après-shampoing à base de bois.,"Sat, 05 Apr 2025 09:54:16 +0200",sciences
8,Chine : les taxis volants sans pilote autorisés dans deux villes,"Dans deux villes chinoises, des engins volants transportant des passagers, mais sans pilote, ont été autorisés dans un but commercial. Les équipes de France Télévisions avaient pu tester l'un de ces appareils le temps d'une course.","Fri, 04 Apr 2025 17:58:00 +0200",sciences
9,REPLAY. Le Talk - Marine Le Pen condamnée : que va devenir le RN ? Des traces de vie découvertes sur Mars ?,"Au programme du Talk de franceinfo sur Twitch ce mercredi 2 avril, la condamnation de Marine Le Pen pour détournement de fonds publics à cinq ans d'inéligibilité immédiate, et l'avenir de son parti, le Rassemblement national, puis la découverte par des scientifiques de molécules organiques sur Mars.","Fri, 04 Apr 2025 14:09:46 +0200",sciences
10,"REPLAY. Le Talk - Peut-on vraiment parler de ""casse des services publics"" ? L’utilisation de la généalogie génétique par la police, dangereux pour les libertés ?","Au programme du Talk de franceinfo jeudi 3 avril, les raisons de la gronde des fonctionnaires, dont certains sont en grève aujourd'hui, puis le pari risqué de la généalogie génétique, la nouvelle ""arme fatale"" des policiers pour résoudre des cold cases.","Fri, 04 Apr 2025 13:49:42 +0200",sciences
11,Des taxis volants arrivent en Chine,"Après l'échec des taxis volants à Paris au moment des JO, un premier service commercial va ouvrir dans l'Empire du Milieu.","Fri, 04 Apr 2025 13:43:29 +0200",sciences
12,Pourquoi l’homme est-il incapable d’imiter les vocalises du singe ?,C’est une étude scientifique qui l’affirme. Et la raison est anatomique.,"Fri, 04 Apr 2025 09:10:01 +0200",sciences
13,Mangera-t-on bientôt du chocolat avec un cacao made in Los Angeles ?,Le sud de la Californie n’a pas vraiment le climat propice pour des plantations de cacao mais un homme s’est fixé le défi d’y arriver en laboratoire. Un homme qui vient d’un univers très différent de l’agriculture puisqu'il est le concepteur de la Xbox.,"Thu, 03 Apr 2025 14:38:38 +0200",sciences
14,"Attaques contre la science : ""Si je perds mon salaire demain je ne sais pas ce que je fais"", s'inquiète un scientifique français aux Etats-Unis","Les chercheurs américains licenciés du jour au lendemain, sans ménagement, se comptent désormais par milliers.","Thu, 03 Apr 2025 13:38:46 +0200",sciences
15,"Baisse des financements de la recherche aux États-Unis : ""C'est un risque majeur pour la santé humaine mondiale"", estime le ministre français chargé de la Recherche","Philippe Baptiste, ministre chargé de l'Enseignement supérieur et de la Recherche était invité sur France Inter, jeudi.","Thu, 03 Apr 2025 09:08:23 +0200",sciences
16,"Un implant cérébral permet à une patiente de traduire ses pensées en paroles, dix-huit ans après avoir été victime d'un AVC","Le dispositif, développé par une équipe de chercheurs californiens, utilise un implant reliant des aires du cerveau à des ordinateurs.","Tue, 01 Apr 2025 10:16:09 +0200",sciences
17,Norvège : la fusée Spectrum s'écrase après seulement quelques secondes de vol,"Spectrum, la première fusée orbitale à s'envoler depuis l'Europe continentale, est retombée une trentaine de secondes seulement après son décollage de la base spatiale d'Andoya, en Norvège, dimanche 30 mars.","Mon, 31 Mar 2025 12:21:54 +0200",sciences
18,"Téléthon 2024 : ""On avait peur, on s'est pris le mur du Black Friday"", raconte Laurence Tiennot-Herment, présidente de l'AFM-Téléthon, qui se félicite d'un ""beau succès""","Invitée de ""La Matinale"" du lundi 31 mars, Laurence Tiennot-Herment, présidente de l'AFM-Téléthon, se réjouit des 96,5 millions d'euros de dons récoltés pour l'édition 2024. Les organisateurs de l'événement ont pourtant dû faire face à quelques imprévus, explique-t-elle.","Mon, 31 Mar 2025 09:11:48 +0200",sciences
19,VIDEO. La première fusée orbitale tirée depuis l'Europe continentale s'écrase après seulement quelques secondes de vol,"La fusée Spectrum, développée par la start-up allemande Isar Aerospace, a décollé depuis la base spatiale norvégienne d'Andoya, dans l'Arctique.","Sun, 30 Mar 2025 14:39:24 +0200",sciences
